"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Charttraxx Karaoke","Avery","F","32","Martinez","225.17506","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Fireflies","82"
"Grant Lee Buffalo","Rylan","M","55","George","169.76934","paid","Birmingham-Hoover, AL","983","Mighty Joe Moon","16"
"Radiohead","Rylan","M","56","George","261.45914","paid","Birmingham-Hoover, AL","983","Karma Police","16"
"Madeleine Peyroux","Avery","F","33","Martinez","258.71628","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Love And Treachery","82"
"Bon Jovi","Rylan","M","57","George","224.522","paid","Birmingham-Hoover, AL","983","It's My Life","16"
"James Taylor","Avery","F","34","Martinez","338.80771","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Country Road","82"
"Jesse Cook","Rylan","M","58","George","301.71383","paid","Birmingham-Hoover, AL","983","CanciÃÂ³n Triste","16"
"The Black Keys","Avery","F","35","Martinez","239.59465","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Unknown Brother","82"
"Radiohead","Rylan","M","59","George","284.44689","paid","Birmingham-Hoover, AL","983","Kid A","16"
"Randy Crawford","Avery","F","36","Martinez","270.75873","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Almaz","82"
"Randy Crawford","Rylan","M","60","George","270.75873","paid","Birmingham-Hoover, AL","983","Almaz","16"
"Dr. Alban","Avery","F","37","Martinez","210.05016","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Born In Africa","82"
"Two Door Cinema Club","Rylan","M","61","George","189.67465","paid","Birmingham-Hoover, AL","983","What You Know","16"
"The Avett Brothers","Avery","F","38","Martinez","287.97342","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Head Full Of Doubt/Road Full Of Promise","82"
"The Bravery","Rylan","M","62","George","187.37587","paid","Birmingham-Hoover, AL","983","Hot Pursuit","16"
"Greg Dulli","Avery","F","39","Martinez","221.17832","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Pussywillow","82"
"Guns N' Roses","Rylan","M","63","George","284.05506","paid","Birmingham-Hoover, AL","983","Don't Cry (Original)","16"
"Major Organ And The Adding Machine","Avery","F","40","Martinez","46.05342","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Kissing Behind The Rubbery Grinder","82"
"RJD2","Avery","F","41","Martinez","237.53098","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Beyond The Beyond (Instrumental)","82"
"Fatback","Rylan","M","64","George","315.66322","paid","Birmingham-Hoover, AL","983","Yum Yum (Gimme Some)","16"
"Secos And Molhados","Avery","F","42","Martinez","66.16771","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Caixinha De MÃÂºsica Do JoÃÂ£o","82"
"Marc Almond","Avery","F","43","Martinez","197.17179","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Mr. Sad","82"
"The Tallest Man On Earth","Rylan","M","66","George","197.40689","paid","Birmingham-Hoover, AL","983","A Lion's Heart","16"
"Pavement","Avery","F","44","Martinez","149.83791","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Heaven Is A Truck","82"
"Kanye West","Rylan","M","67","George","311.92771","paid","Birmingham-Hoover, AL","983","Stronger","16"
"Against Me!","Avery","F","45","Martinez","129.43628","paid","Atlanta-Sandy Springs-Roswell, GA","1017","ClichÃÂ© Guevara","82"
"Rah Digga","Rylan","M","68","George","384.10404","paid","Birmingham-Hoover, AL","983","Imperial (LP Amended Version)","16"
"Pat Metheny Group","Avery","F","50","Martinez","324.8322","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Always and Forever","82"
"Harmonia","Rylan","M","69","George","655.77751","paid","Birmingham-Hoover, AL","983","Sehr kosmisch","16"
"David Lee Roth","Rylan","M","70","George","171.83302","paid","Birmingham-Hoover, AL","983","California Girls (Album Version)","16"
"Michael Cretu","Rylan","M","71","George","301.06077","paid","Birmingham-Hoover, AL","983","The Invisible Man","16"
"Haloo Helsinki!","Rylan","M","72","George","223.42485","paid","Birmingham-Hoover, AL","983","Kaaos ei karkaa","16"
"Chali 2na","Chloe","F","72","Cuevas","176.8224","paid","San Francisco-Oakland-Hayward, CA","1041","MC Material","49"
"Radiohead","Chloe","F","73","Cuevas","129.56689","paid","San Francisco-Oakland-Hayward, CA","1041","Faust Arp","49"
"Andre Hazes","Chloe","F","74","Cuevas","206.70649","paid","San Francisco-Oakland-Hayward, CA","1041","Droomland (duet met Paul de Leeuw)","49"
"Rise Against","Chloe","F","75","Cuevas","242.25914","paid","San Francisco-Oakland-Hayward, CA","1041","Savior","49"
"Sepultura","Chloe","F","76","Cuevas","186.5922","paid","San Francisco-Oakland-Hayward, CA","1041","Ostia","49"
"Screaming Trees","Chloe","F","77","Cuevas","218.30485","paid","San Francisco-Oakland-Hayward, CA","1041","Witness","49"
"Spencer Davis Group","Chloe","F","78","Cuevas","244.94975","paid","San Francisco-Oakland-Hayward, CA","1041","Crossfire","49"
"Lionel Richie","Chloe","F","79","Cuevas","310.69995","paid","San Francisco-Oakland-Hayward, CA","1041","Still","49"
"Skinlab","Chloe","F","80","Cuevas","277.89016","paid","San Francisco-Oakland-Hayward, CA","1041","So Far From The Truth","49"
"Larry Sparks","Tegan","F","3","Levine","265.50812","paid","Portland-South Portland, ME","1065","Follow The Star","80"
"Eastmountainsouth","Chloe","F","81","Cuevas","237.58322","paid","San Francisco-Oakland-Hayward, CA","1041","You Dance","49"
"Bon Jovi","Tegan","F","4","Levine","228.85832","paid","Portland-South Portland, ME","1065","Have A Nice Day","80"
"Diam's","Chloe","F","82","Cuevas","220.62975","paid","San Francisco-Oakland-Hayward, CA","1041","La Boulette (GÃÂ©nÃÂ©ration Nan Nan)","49"
"Porcupine Tree","Chloe","F","83","Cuevas","263.60118","paid","San Francisco-Oakland-Hayward, CA","1041","Blackest Eyes (Album Version)","49"
"Blackfield","Tegan","F","5","Levine","311.82322","paid","Portland-South Portland, ME","1065","Once","80"
"Kate Bush","Chloe","F","84","Cuevas","177.05751","paid","San Francisco-Oakland-Hayward, CA","1041","Kite","49"
"Clinic","Tegan","F","6","Levine","156.21179","paid","Portland-South Portland, ME","1065","Walking With Thee","80"
"Muse","Chloe","F","85","Cuevas","277.31546","paid","San Francisco-Oakland-Hayward, CA","1041","Darkshines [Live From Le Zenith]","49"
"Shakira","Tegan","F","7","Levine","322.79465","paid","Portland-South Portland, ME","1065","TÃÂº","80"
"Jellyfish","Chloe","F","86","Cuevas","143.17669","paid","San Francisco-Oakland-Hayward, CA","1041","Sebrina_ Paste And Plato","49"
"The Verve","Tegan","F","8","Levine","360.25424","paid","Portland-South Portland, ME","1065","Bitter Sweet Symphony","80"
"Toro Y Moi","Chloe","F","87","Cuevas","133.85098","paid","San Francisco-Oakland-Hayward, CA","1041","Lissoms","49"
"Simon Harris","Chloe","F","88","Cuevas","195.83955","paid","San Francisco-Oakland-Hayward, CA","1041","Sample Track 2","49"
"Linkin Park","Tegan","F","9","Levine","197.51138","paid","Portland-South Portland, ME","1065","Figure.09 (Album Version)","80"
"Michael W. Smith","Chloe","F","89","Cuevas","381.88363","paid","San Francisco-Oakland-Hayward, CA","1041","The Wonderful Cross","49"
"Underworld","Tegan","F","10","Levine","329.53424","paid","Portland-South Portland, ME","1065","Teardrop","80"
"Nickelback","Chloe","F","90","Cuevas","274.65098","paid","San Francisco-Oakland-Hayward, CA","1041","This Afternoon (Album Version)","49"
"Jackson Do Pandeiro","Martin","M","2","Johnson","157.51791","free","Minneapolis-St. Paul-Bloomington, MN-WI","1008","O Canto Da Ema","55"
"John Mayer","Tegan","F","11","Levine","269.71383","paid","Portland-South Portland, ME","1065","Heartbreak Warfare","80"
"Triumvirat","Martin","M","3","Johnson","294.81751","free","Minneapolis-St. Paul-Bloomington, MN-WI","1008","Waterfall","55"
"Hausmylly","Chloe","F","91","Cuevas","207.75138","paid","San Francisco-Oakland-Hayward, CA","1041","TAVALLINEN TARINA","49"
"Thousand Foot Krutch","Tegan","F","12","Levine","180.58404","paid","Portland-South Portland, ME","1065","Step To Me","80"
"Enya","Chloe","F","92","Cuevas","218.53995","paid","San Francisco-Oakland-Hayward, CA","1041","Only Time (Original Version)","49"
"Billie The Vision & The Dancers","Martin","M","4","Johnson","136.46322","free","Minneapolis-St. Paul-Bloomington, MN-WI","1008","Still be Friends","55"
"Claudio Minore","Tegan","F","13","Levine","282.01751","paid","Portland-South Portland, ME","1065","Non Saprai Mai","80"
"Charttraxx Karaoke","Martin","M","5","Johnson","225.17506","free","Minneapolis-St. Paul-Bloomington, MN-WI","1008","Fireflies","55"
"The Radio Dept.","Chloe","F","93","Cuevas","193.72363","paid","San Francisco-Oakland-Hayward, CA","1041","The Worst Taste In Music (Extended)","49"
"Wilco","Tegan","F","14","Levine","227.65669","paid","Portland-South Portland, ME","1065","War on war","80"
"O-Zone","Chloe","F","94","Cuevas","226.16771","paid","San Francisco-Oakland-Hayward, CA","1041","Despre tine","49"
"Adam Lambert","Austin","M","0","Rosales","227.39546","free","New York-Newark-Jersey City, NY-NJ-PA","967","Whataya Want From Me","12"
"Mission Of Burma","Tegan","F","15","Levine","218.20036","paid","Portland-South Portland, ME","1065","Red","80"
"Danity Kane","Chloe","F","95","Cuevas","247.74485","paid","San Francisco-Oakland-Hayward, CA","1041","Damaged [Feat. Fabolous]","49"
"Radiohead","Tegan","F","16","Levine","223.00689","paid","Portland-South Portland, ME","1065","Sulk","80"
"Fightstar","Wyatt","M","1","Scott","212.61016","free","Eureka-Arcata-Fortuna, CA","1010","The English Way","9"
"Hoobastank","Tegan","F","17","Levine","242.78159","paid","Portland-South Portland, ME","1065","To Be With You","80"
"Bright Eyes","Tegan","F","18","Levine","279.87546","paid","Portland-South Portland, ME","1065","Poison Oak (Album Version)","80"
"Procol Harum","Tegan","F","19","Levine","368.56118","paid","Portland-South Portland, ME","1065","Grand Hotel","80"
"Radiohead","Tegan","F","20","Levine","259.29098","paid","Portland-South Portland, ME","1065","Planet Telex","80"
"Alliance Ethnik","Tegan","F","21","Levine","195.94404","paid","Portland-South Portland, ME","1065","SinceritÃÂ© Et Jalousie","80"
"Muse","Tegan","F","22","Levine","365.45261","paid","Portland-South Portland, ME","1065","New Born","80"
"Steps","Tegan","F","23","Levine","201.76934","paid","Portland-South Portland, ME","1065","5_ 6_ 7_ 8","80"
"John Mayer","Tegan","F","24","Levine","198.19057","paid","Portland-South Portland, ME","1065","The Heart Of Life","80"
"Kings Of Leon","Sean","F","0","Wilson","201.79546","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","21","Revelry","22"
"David Gray","Tegan","F","25","Levine","263.33995","paid","Portland-South Portland, ME","1065","Draw The Line","80"
"King Stitt","Sean","F","1","Wilson","176.27383","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","21","The Ugly One (AKA Lee Van Cleef)","22"
"Tub Ring","Tegan","F","26","Levine","233.69098","paid","Portland-South Portland, ME","1065","Invalid","80"
"Era","Tegan","F","27","Levine","200.56771","paid","Portland-South Portland, ME","1065","Cathar Rhythm","80"
"+ / - {Plus/Minus}","Tegan","F","29","Levine","318.98077","paid","Portland-South Portland, ME","1065","The Queen of Nothing","80"
"Crystal Castles","Tegan","F","30","Levine","175.51628","paid","Portland-South Portland, ME","1065","Good Time","80"
"The Whitest Boy Alive","Tegan","F","31","Levine","234.57914","paid","Portland-South Portland, ME","1065","Figures","80"
"The White Stripes","Tegan","F","32","Levine","194.48118","paid","Portland-South Portland, ME","1065","Bone Broke","80"
"Furthermore","Tegan","F","33","Levine","211.69587","paid","Portland-South Portland, ME","1065","Are You The Walrus?","80"
"Eminem / Bizarre","Tegan","F","34","Levine","244.55791","paid","Portland-South Portland, ME","1065","Amityville","80"
"Florence + The Machine","Tegan","F","35","Levine","185.3122","paid","Portland-South Portland, ME","1065","I'm Not Calling You A Liar","80"
"Soda Stereo","Braden","M","0","Parker","316.73424","free","Youngstown-Warren-Boardman, OH-PA","1007","Signos","74"
"Taylor Swift","Tegan","F","36","Levine","230.47791","paid","Portland-South Portland, ME","1065","You Belong With Me","80"
"Pearl Jam","Tegan","F","38","Levine","283.89832","paid","Portland-South Portland, ME","1065","Rearviewmirror","80"
"The 2 Live Crew","Tegan","F","39","Levine","188.31628","paid","Portland-South Portland, ME","1065","Me So Horny","80"
"311","Tegan","F","40","Levine","113.26649","paid","Portland-South Portland, ME","1065","Loco","80"
"Light Of The World","Kynnedi","F","0","Sanchez","207.0722","free","Cedar Rapids, IA","1029","Midnight Groovin' (7"" Version) (2006 Digital Remaster)","89"
"Frumpies","Anabelle","F","0","Simpson","134.47791","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","455","Hello Kitty","69"
"Kenny G with Peabo Bryson","Anabelle","F","1","Simpson","264.75057","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","455","By The Time This Night Is Over","69"
"Biffy Clyro","Anabelle","F","2","Simpson","189.83138","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","455","God & Satan","69"
"HIM","Lily","F","1","Burns","212.06159","free","New York-Newark-Jersey City, NY-NJ-PA","456","Beautiful","32"
"Matmos","Joseph","M","0","Gutierrez","1449.11628","free","Columbia, SC","284","Supreme Balloon","75"
"Gary Allan","Ryann","F","0","Smith","259.83955","free","Palestine, TX","328","The One","92"
"Miracle Fortress","Ryann","F","1","Smith","200.9073","free","Palestine, TX","328","Five Roses","92"
"Don Omar","Ryann","F","2","Smith","261.35465","free","Palestine, TX","328","Cuentale","92"
"Jay-Z","Ryann","F","3","Smith","212.27057","free","Palestine, TX","328","D'Evils","92"
"Red Hot Chili Peppers","Ryann","F","4","Smith","231.33995","free","Palestine, TX","328","Easily (Album Version)","92"
"Flogging Molly","Chloe","F","1","Cuevas","361.9522","free","San Francisco-Oakland-Hayward, CA","437","Rebels of the Sacred Heart","49"
"Reverend Horton Heat","Chloe","F","2","Cuevas","158.64118","free","San Francisco-Oakland-Hayward, CA","437","Now_ Right Now","49"
"Sea Wolf","Chloe","F","3","Cuevas","232.61995","free","San Francisco-Oakland-Hayward, CA","437","I Made A Resolution","49"
"Jason Mraz & Colbie Caillat","Chloe","F","4","Cuevas","189.6224","free","San Francisco-Oakland-Hayward, CA","437","Lucky (Album Version)","49"
"Jamie Lidell","Chloe","F","5","Cuevas","175.25506","free","San Francisco-Oakland-Hayward, CA","437","Enoughs Enough","49"
"Feist","Chloe","F","6","Cuevas","212.79302","free","San Francisco-Oakland-Hayward, CA","437","Mushaboom (Postal Service Mix)","49"
"Sex Slaves","Chloe","F","12","Cuevas","175.51628","free","San Francisco-Oakland-Hayward, CA","437","We're Going Out Tonight","49"
"Rise Against","Chloe","F","1","Cuevas","169.482","free","San Francisco-Oakland-Hayward, CA","469","To Them These Streets Belong","49"
"BeyoncÃÂ©","Mohammad","M","1","Rodriguez","359.54893","free","Sacramento--Roseville--Arden-Arcade, CA","441","Get Me Bodied","88"
"Nate Dogg","Mohammad","M","2","Rodriguez","356.38812","free","Sacramento--Roseville--Arden-Arcade, CA","441","Never Leave Me Alone","88"
"Taylor Swift","Cierra","F","1","Finley","233.89995","free","Richmond, VA","443","Love Story","96"
"Lynyrd Skynyrd","Ryan","M","0","Smith","216.60689","free","San Jose-Sunnyvale-Santa Clara, CA","452","Sweet home Alabama","26"
"Kelis","Cierra","F","2","Finley","293.58975","free","Richmond, VA","443","Caught Out There (Explicit)","96"
"The Kills","Cierra","F","3","Finley","203.38893","free","Richmond, VA","443","Last Day Of Magic","96"
"Collie Buddz featuring Paul Wall","Aleena","F","1","Kirby","271.62077","paid","Waterloo-Cedar Falls, IA","448","What A Feeling","44"
"Charttraxx Karaoke","Cierra","F","4","Finley","225.17506","free","Richmond, VA","443","Fireflies","96"
"Band Of Horses","Aleena","F","2","Kirby","321.14893","paid","Waterloo-Cedar Falls, IA","448","The Funeral (Album Version)","44"
"Coldplay","Aleena","F","3","Kirby","307.51302","paid","Waterloo-Cedar Falls, IA","448","Clocks","44"
"Bon Jovi","Aleena","F","4","Kirby","228.75383","paid","Waterloo-Cedar Falls, IA","448","Have A Nice Day","44"
"P.O.D.","Aleena","F","5","Kirby","203.7024","paid","Waterloo-Cedar Falls, IA","448","Alive (2006 Remastered Album Version)","44"
"Bloc Party","Aleena","F","6","Kirby","222.04036","paid","Waterloo-Cedar Falls, IA","448","Plans (Replanned by Mogwai)","44"
"Los Prisioneros","Aleena","F","7","Kirby","211.12118","paid","Waterloo-Cedar Falls, IA","448","Pa Pa Pa","44"
"Octopus Project","Aleena","F","8","Kirby","175.25506","paid","Waterloo-Cedar Falls, IA","448","Lots More Stairs","44"
"Roudoudou","Aleena","F","9","Kirby","18.41587","paid","Waterloo-Cedar Falls, IA","448","Ecoute Ce Scratch","44"
"Africando","Aleena","F","10","Kirby","253.54404","paid","Waterloo-Cedar Falls, IA","448","Tierra Tradicional","44"
"RUN-DMC Featuring Method Man_ Kenny Cash_ Mike Ransom_ and Jamel Simmons","Aleena","F","11","Kirby","266.52689","paid","Waterloo-Cedar Falls, IA","448","Simmons Incorporated","44"
"Graham Coxon","Colm","M","1","Santana","197.14567","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","I'm Goin' Away","67"
"Queens Of The Stone Age","Aleena","F","12","Kirby","231.02649","paid","Waterloo-Cedar Falls, IA","448","In The Fade","44"
"Dance Gavin Dance","Colm","M","2","Santana","193.30567","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","Strawberry AndrÃÂ© (Album Version)","67"
"Passion Pit","Aleena","F","13","Kirby","243.69587","paid","Waterloo-Cedar Falls, IA","448","Eyes As Candles","44"
"Black Eyed Peas","Colm","M","4","Santana","229.61587","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","Let's Get It Started","67"
"Plastic Bertrand","Colm","M","5","Santana","180.00934","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","Ca plane pour moi","67"
"Cream","Colm","M","6","Santana","166.5824","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","Strange Brew","67"
"Coldplay","Colm","M","7","Santana","284.39465","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","A Message","67"
"Cute Is What We Aim For","Colm","M","8","Santana","172.22485","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","Sweat the Battle Before the Battle Sweats You (Album Version)","67"
"Metallica","Connar","M","0","Moreno","256.9922","free","Houston-The Woodlands-Sugar Land, TX","218","Of Wolf And Man","62"
"The Kills","Connar","M","1","Moreno","217.70404","free","Houston-The Woodlands-Sugar Land, TX","218","Tape Song","62"
"Foo Fighters","Connar","M","2","Moreno","271.38567","free","Houston-The Woodlands-Sugar Land, TX","218","The Pretender","62"
"Plaid","Connar","M","3","Moreno","260.96281","free","Houston-The Woodlands-Sugar Land, TX","218","Eyen [Chosen by fans on Warp20.net]","62"
"The Van Pelt","Theodore","M","1","Harris","208.71791","free","Red Bluff, CA","462","It's New To Me","14"
"44","Ryan","M","1","Smith","224.57424","free","San Jose-Sunnyvale-Santa Clara, CA","472","Make You Smile","26"
"Chris Brown","Rylan","M","1","George","275.1473","free","Birmingham-Hoover, AL","446","I May Never Find","16"
"KT Tunstall","Ryan","M","2","Smith","170.47465","free","San Jose-Sunnyvale-Santa Clara, CA","472","Black Horse And The Cherry Tree (Radio Version)","26"
"Cascada","Rylan","M","2","George","184.39791","free","Birmingham-Hoover, AL","446","Kids In America","16"
"Incubus","Ryan","M","3","Smith","293.38077","free","San Jose-Sunnyvale-Santa Clara, CA","472","Black Heart Inertia","26"
"Miike Snow","Tegan","F","1","Levine","220.83873","paid","Portland-South Portland, ME","435","Black & Blue","80"
"Cartola","Tegan","F","2","Levine","208.92689","paid","Portland-South Portland, ME","435","Sala De RecepÃÂ§ÃÂ£o","80"
"Kill The Client","Tegan","F","3","Levine","70.68689","paid","Portland-South Portland, ME","435","Commander In Thief","80"
"Wolfmother","Tegan","F","5","Levine","175.82975","paid","Portland-South Portland, ME","435","Woman","80"
"Old Crow Medicine Show","Tegan","F","6","Levine","231.73179","paid","Portland-South Portland, ME","435","Wagon Wheel","80"
"Architecture In Helsinki","Tegan","F","7","Levine","173.73995","paid","Portland-South Portland, ME","435","Debbie","80"
"Charlie Louvin","Tegan","F","8","Levine","170.86649","paid","Portland-South Portland, ME","435","I Think I'll Live","80"
"Miguel Morales","Tegan","F","9","Levine","270.78485","paid","Portland-South Portland, ME","435","La Derrota de Un Don Juan","80"
"Dominique A","Tegan","F","10","Levine","153.20771","paid","Portland-South Portland, ME","435","Le Courage Des Oiseaux","80"
"Cock Sparrer","Tegan","F","11","Levine","203.25832","paid","Portland-South Portland, ME","435","Run With The Blind","80"
"Jimmy Wakely","Tegan","F","12","Levine","165.74649","paid","Portland-South Portland, ME","435","I Love You So Much It Hurts","80"
"Peter Doherty","Tegan","F","13","Levine","217.02485","paid","Portland-South Portland, ME","435","A Little Death Around the Eyes","80"
"Katy Perry","Tegan","F","14","Levine","246.41261","paid","Portland-South Portland, ME","435","Thinking Of You","80"
"Sidewalk Prophets","Molly","F","0","Taylor","260.62322","free","St. Louis, MO-IL","464","You Love Me Anyway (Album)","35"
"Rise Against","Molly","F","1","Taylor","221.17832","free","St. Louis, MO-IL","464","Torches","35"
"K'Naan","Molly","F","2","Taylor","220.49914","free","St. Louis, MO-IL","464","Wavin'  Flag","35"
"Patrick Jumpen","Ryan","M","0","Smith","208.87465","free","San Jose-Sunnyvale-Santa Clara, CA","480","Holiday","26"
"Alicia Keys","Ryan","M","1","Smith","216.47628","free","San Jose-Sunnyvale-Santa Clara, CA","480","Empire State Of Mind (Part II) Broken Down","26"
"Stephen Lynch","Jayden","M","0","Bell","182.85669","free","Dallas-Fort Worth-Arlington, TX","829","Jim Henson's Dead","91"
"Manowar","Jacob","M","0","Klein","247.562","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Shell Shock","73"
"Morcheeba","Jacob","M","1","Klein","257.41016","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Women Lose Weight (Feat: Slick Rick)","73"
"Maroon 5","Jacob","M","2","Klein","231.23546","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Won't Go Home Without You","73"
"Train","Jacob","M","3","Klein","216.76363","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Hey_ Soul Sister","73"
"LMFAO","Jacob","M","4","Klein","227.99628","paid","Tampa-St. Petersburg-Clearwater, FL","1049","I'm In Miami Bitch","73"
"DJ Dizzy","Jacob","M","5","Klein","221.1522","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Sexy Bitch","73"
"Fish Go Deep & Tracey K","Jacob","M","6","Klein","377.41669","paid","Tampa-St. Petersburg-Clearwater, FL","1049","The Cure & The Cause (Dennis Ferrer Remix)","73"
"M83","Jacob","M","7","Klein","96.1824","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Staring At Me","73"
"Saybia","Jacob","M","8","Klein","257.25342","paid","Tampa-St. Petersburg-Clearwater, FL","1049","The Second You Sleep","73"
"Local Natives","Jacob","M","9","Klein","266.05669","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Wide Eyes","73"
"South Park","Jacob","M","10","Klein","112.97914","paid","Tampa-St. Petersburg-Clearwater, FL","1049","La Resistance (Medley) (LP Version)","73"
"UNKLE Feat. Josh Homme","Jacob","M","11","Klein","307.19955","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Restless","73"
"Justyna Steczkowska","Jacob","M","12","Klein","333.53098","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Noc...","73"
"Evanescence","Jacob","M","13","Klein","256.91383","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Like You","73"
"Coldplay","Jacob","M","14","Klein","297.35138","paid","Tampa-St. Petersburg-Clearwater, FL","1049","God Put A Smile Upon Your Face","73"
"Hot Chip","Jacob","M","15","Klein","333.50485","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Playboy","73"
"Ellie Goulding","Jacob","M","16","Klein","205.06077","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Every Time You Go","73"
"Postal Service","Jacob","M","17","Klein","307.53914","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Natural Anthem (Album)","73"
"Jack Johnson","Aiden","M","1","Hess","240.06485","free","La Crosse-Onalaska, WI-MN","986","Taylor","86"
"Iron And Wine","Aiden","M","2","Hess","153.05098","free","La Crosse-Onalaska, WI-MN","986","Naked As We Can","86"
"The xx","Aiden","M","3","Hess","158.24934","free","La Crosse-Onalaska, WI-MN","986","Fantasy","86"
"The Antlers","Aiden","M","4","Hess","328.88118","free","La Crosse-Onalaska, WI-MN","986","Epilogue","86"
"Fattburger","Aiden","M","5","Hess","217.20771","free","La Crosse-Onalaska, WI-MN","986","Groovin'","86"
"Chris Brown","Layla","F","2","Griffin","203.80689","paid","Lake Havasu City-Kingman, AZ","1051","Ain't No Way (You Won't Love Me)","24"
"Phoenix","Layla","F","3","Griffin","278.07302","paid","Lake Havasu City-Kingman, AZ","1051","Rome","24"
"Jim Lauderdale/Ralph Stanley & The Clinch Mountain Boys","Layla","F","5","Griffin","127.05914","paid","Lake Havasu City-Kingman, AZ","1051","Highway Through My Home","24"
"Musiq","Layla","F","7","Griffin","297.84771","paid","Lake Havasu City-Kingman, AZ","1051","143","24"
"Cass McCombs feat. Karen Black","Layla","F","8","Griffin","322.06322","paid","Lake Havasu City-Kingman, AZ","1051","Dreams-Come-True-Girl","24"
"Scissor Sisters","Layla","F","10","Griffin","352.522","paid","Lake Havasu City-Kingman, AZ","1051","I Don't Feel Like Dancin'","24"
"O.A.R.","Layla","F","11","Griffin","315.74159","paid","Lake Havasu City-Kingman, AZ","1051","Right On Time (Album Version)","24"
"1 Mile North","Ryan","M","0","Smith","352.73098","free","San Jose-Sunnyvale-Santa Clara, CA","1068","Black Lines","26"
"Muse","Layla","F","12","Griffin","304.84853","paid","Lake Havasu City-Kingman, AZ","1051","Uprising","24"
"USS (Ubiquitous Synergy Seeker)","Ryan","M","1","Smith","307.61751","free","San Jose-Sunnyvale-Santa Clara, CA","1068","Man Makes The Zoo","26"
"The Psychedelic Furs","Layla","F","13","Griffin","417.07057","paid","Lake Havasu City-Kingman, AZ","1051","Blacks/Radio","24"
"EsmÃÂ©e Denters / Justin Timberlake","Ryan","M","2","Smith","227.52608","free","San Jose-Sunnyvale-Santa Clara, CA","1068","Love Dealer (Featuring Justin Timberlake)","26"
"Alliance Ethnik","Layla","F","14","Griffin","252.21179","paid","Lake Havasu City-Kingman, AZ","1051","ReprÃÂ©sente","24"
"Train","Ryan","M","3","Smith","216.76363","free","San Jose-Sunnyvale-Santa Clara, CA","1068","Hey_ Soul Sister","26"
"Hoobastank","Layla","F","15","Griffin","202.57914","paid","Lake Havasu City-Kingman, AZ","1051","Up And Gone","24"
"Ismael Serrano","Layla","F","16","Griffin","179.35628","paid","Lake Havasu City-Kingman, AZ","1051","Te Conoci","24"
"The Pussycat Dolls / Snoop Dogg","Ryan","M","6","Smith","210.31138","free","San Jose-Sunnyvale-Santa Clara, CA","1068","Bottle Pop","26"
"Dierks Bentley","Layla","F","17","Griffin","198.63465","paid","Lake Havasu City-Kingman, AZ","1051","My Love Will Follow You","24"
"59 Times the Pain","Ryan","M","7","Smith","144.95302","free","San Jose-Sunnyvale-Santa Clara, CA","1068","Found Home","26"
"Linkin Park","Layla","F","18","Griffin","259.86567","paid","Lake Havasu City-Kingman, AZ","1051","My December","24"
"New Order","Ryan","M","8","Smith","288.05179","free","San Jose-Sunnyvale-Santa Clara, CA","1068","The Perfect Kiss","26"
"Madeleine Peyroux","Layla","F","19","Griffin","206.18404","paid","Lake Havasu City-Kingman, AZ","1051","You're Gonna Make Me Lonesome When You Go","24"
